index,SHA256,Category,accelerometer,accelerometer_uncalibrated,ambient_temperature,device_private_base,game_rotation_vector,geomagnetic_rotation_vector,gravity,gyroscope,gyroscope_uncalibrated,heart_beat,heart_rate,hinge_angle,light,linear_acceleration,low_latency_offbody_detect,magnetic_field,magnetic_field_uncalibrated,motion_detect,orientation,pose_6dof,pressure,proximity,relative_humidity,rotation_vector,significant_motion,stationary_detect,step_counter,step_detector,temperature
3000,3DA3036740C7B89BAC8A9505AD09961D05F19663AE1598B4B316AB812AB0B854,Benign,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3001,3DB13283506448A348811EC3E873E68D6592839D5FA68AFB880DF067C73F51F1,Benign,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3004,3DCCC2356E43A61EBB84026EE6405321B9DBC2621CB419A7915412688EC49B66,Benign,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3014,3DEE3822A673FE7964DE8E9A716A997D3E4D436F9A493D2731C342BE32EE72CE,Benign,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3016,3DF73131AC49D239D6255DD8CE42FD7CBBEA3A31E9FBDDCCD1EE74787784645B,Benign,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3017,3DF9C1AC995C4EB38B8510C82BBB82F130CF255E024A1D7852B1DAD368003540,Benign,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3021,3DFC60C9BF67A1EB2B5DBF5DE3D719542AB66F10B8922AB8B16DE94C1C3F2ED7,Benign,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3022,3E10931085AFFF8B125B312CC566EE1EAE8BBDD0C70843BEF6632F1A82666357,Benign,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
3028,3E2CCE24864724DD3A0DEA5B4BC7E6C78A711B7E4AAD74035920EE303E4012B9,Benign,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3029,3E45B0C333B49496E9D477013B450E9AB6DD812E91306B61394C3C9665BE4E4C,Benign,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3030,3E46FF4577972D73C0B584F936026D36231370D4E4D7B1BA5E9BBFD72BAAA15C,Benign,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
3031,3E4EE843CFAF32C75292D96FE316E01AC68943861339D0D8DC7F91C58D4E8FA6,Benign,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3033,3E63377F6E2EFA5CAB83199C1D6EF791BF0A733EFE4FFC345BF9775DEC24C614,Benign,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3074,3E75D085BC838D9DE857082FE644BA744E299D91E9C4744D28D132B75D6FEA50,Benign,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3075,3ED8AD95BA4591FA08355262DDB1BCC0F9F3A399A2DD22D1CE2B90E28A4E3C93,Benign,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
3076,3F052C43616071711942D7103DFFA34ECC3BFCC5A46D0F93B00249E2822A8192,Benign,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
3086,3F0AF7615D4573B98FCF0CD4220F3DEFBE92774C85A8DB1DD4ED267BB249AD72,Benign,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3087,3F26CC25B8C6605B86297B179E84BD05EAF78FBA76F13A8DF19609402E8D2CBC,Benign,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3088,3F563D1BAD214715F7914E91611A9F790F19694E8047620102F4B752C834354C,Benign,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3089,3F5DB97109902C7B2337D682B0A8ED85A5D8933D95757CC3292E3429E5F73126,Benign,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3092,3F80FD504F14AA3CFD5FB3A8B6438903BEBA6DA82C3B953DE8035D0AE68CB066,Benign,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3093,3F87B88E786CC5BDF5774101D9B74C4C4726FF6A1DB1C332B6EB880B09AE8974,Benign,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3094,3FA37D07A9A560ABBF1D1BEF7C23FC9CDDB5E26C981C6718B2BEFC5990E93891,Benign,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
3095,3FC5DD85C8F60FF1D0168629B195D001F29F59228C01B09ACD3EC26CE8C23AF0,Benign,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3103,3FD3C441B980F80DD5BABBCA5B653AC837C50653F957F2069209ADAA6E62E1FA,Benign,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3104,403C20DD452DABB9CDF3AAF0CB7F89E5E51DEC05E8AEB5932C802A6451B21385,Benign,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3107,404942EC219AA52BA9B2D6E466035DA7603A62EC3F016B1992BF2621198A2500,Benign,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3112,404BF1173C84EF2915F6F09094062CCDDCD230B4D699670E319B5A5C1FAD1637,Benign,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
3113,4051ECCE2890EC86BEED4DA119688227A9EEE198CEAD99F6C279BB49B6F7BA2F,Benign,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
3114,405E511779FCDDC9A6E768AE67535C5AE0EBA2AD11AA5E9191AA05A96049B060,Benign,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
3115,4062EC2F92A45DE2E78555F5BE817EB6222861D027A289D63E2082476A0C7D94,Benign,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3149,408DF46460367235DEE7D466A97C125B4C5DAD748E45BEC43DEB7BB65E195347,Benign,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3150,409CE53CA57FD77EC7B009CC69B7D4F78D4EE1B1B67F3CAD38F7C4E1F2F00EFE,Benign,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3152,40ABC88F19124F70E7E108534F0B08A2C14A63F36647C866B3EB5C00BAD37D9C,Benign,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3161,40FA5F507844DC8E1DCAC604A4580DFAAF211996E42F0FF6BA18993238489323,Benign,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3162,41168E5815EE3642C146370875BF1E3E37E1748564D3C215199A1A7556709E6D,Benign,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3163,4125D37BF9391A0D1128877BC59FC84681F05C166BD6B46DA6833CACF0286D55,Benign,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3164,412CDD55B380D70B7B4C23C24047A836E638A2AA5DE3E92ACA7DCC0A5C07CD5F,Benign,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
